rc,f_b_nonAB,f_ab_AB,f_total,I_nonAB,I_AB,TSFC_nonAB,TSFC_AB,eta_th_nonAB,eta_th_AB,eta_p_nonAB,eta_p_AB,eta_0_nonAB,eta_0_AB,AR_nonAB,AR_AB
13.1313131313131,0.021912484142391,0.0277702608477011,0.0496827449900921,672.1869110261,1086.43942677317,3.259879623205e-05,4.57298803465323e-05,0.600428517580695,0.515860028669869,0.629179995991075,0.522042472184535,0.377777612284349,0.269300844668004,2.90661087711184,2.85231744658196
13.7171717171717,0.0215926165730207,0.0280363073164488,0.0496289238894695,668.748012696485,1088.08542480981,3.22881207316883e-05,4.56112385644211e-05,0.60521764610419,0.517635115757101,0.630207300788611,0.521605526719903,0.381412579140958,0.270001337203201,2.92253305563821,2.86790356537938
14.3030303030303,0.0212823637827896,0.0282943567943081,0.0495767205770977,665.269927766025,1089.51948445904,3.19905693832512e-05,4.55032895549482e-05,0.609827951576854,0.519244463412736,0.631260309976183,0.521222448531141,0.384960181744546,0.270641870606225,2.93660390399243,2.88167751136198
14.8888888888889,0.0209810600486314,0.0285449629894004,0.0495260230380318,661.760745381,1090.76165461398,3.17049027085338e-05,4.54049909332018e-05,0.614276120288427,0.520702701668244,0.632335731358888,0.520888004634407,0.388428739778883,0.271227791279716,2.94896564114329,2.8937784719227
15.4747474747475,0.0206881098082395,0.028788621254377,0.0494767310626166,658.227211013606,1091.8293415019,3.14300433985126e-05,4.53154437071249e-05,0.618576807465559,0.522022618293275,0.633430786005913,0.520597673875347,0.391825593357937,0.271763760793797,2.95974601756613,2.90433147831698
16.0606060606061,0.0204029779183386,0.0290257766889991,0.0494287546073377,654.674972453973,1092.73773959017,3.11650494929727e-05,4.52338679415208e-05,0.622742954377112,0.523215449457867,0.634543116128121,0.520347527771011,0.395157254817285,0.272253865616999,2.96906022532098,2.91344927392548
16.6464646464646,0.0201251815681162,0.0292568308660549,0.0493820124341711,651.108774912854,1093.50017944584,3.09090928329292e-05,4.51595832926125e-05,0.626786046459363,0.524291115835178,0.635670711937997,0.520134134860602,0.398429532385626,0.27270170595003,2.97701249914132,2.92123388039429
17.2323232323232,0.0198542835187583,0.0294821474543049,0.0493364309730632,647.532617008504,1094.12841085449,3.0661441597308e-05,4.50919933013463e-05,0.630716325097459,0.52525841590817,0.636811853089954,0.519954483273364,0.401647631759399,0.273110468228518,2.9836974672473,2.92777791904054
17.8181818181818,0.0195898864143229,0.0297020569503524,0.0492919433646753,643.949876406381,1094.63283499436,3.04214460349709e-05,4.50305726165516e-05,0.634542962660597,0.526125185400694,0.637965061428498,0.519805917550432,0.404816240152789,0.273482984743599,2.98920129787811,2.93316573248453
18.4040404040404,0.0193316279648345,0.029916860685054,0.0492484886498885,640.363411711022,1095.02269617278,3.0188526719822e-05,4.49748565230815e-05,0.638274208154872,0.526898429666909,0.639129062585003,0.51968608672025,0.407939596330208,0.273821783012641,2.99360267789276,2.93747434204418
18.989898989899,0.0190791768445978,0.0301268342350535,0.0492060110796513,636.775645625227,1095.30624120497,2.9962164815309e-05,4.49244322989694e-05,0.641917509197747,0.527584434324369,0.640302754556401,0.519592901333111,0.411021549337302,0.274129126928787,2.99697365240126,2.94077426920814
19.5757575757576,0.0188322291809258,0.0303322303432454,0.0491644595241712,633.188633222306,1095.49085270581,2.97418939520255e-05,4.48789320355686e-05,0.645479614771375,0.52818885825461,0.641485181835647,0.519524497683784,0.414065608052819,0.274407051266898,2.99938034867906,2.94313024392365
20.1616161616162,0.0185905055333112,0.0305332814313169,0.0491237869646281,629.604118305294,1095.58316120153,2.95272934099467e-05,4.4838026636658e-05,0.648966662266481,0.528716812215462,0.642675513988677,0.519479207843268,0.417074983233627,0.274657390783106,3.0008836031667,2.94460181808497
