f_b,I,TSFC,Me,P04,P05,T03,T03s,T05,T05s,T7,T7_1,T7s,TSFC_1,Ue,W
0.0224569966808569,677.687462108611,3.31376894755916e-05,2.47519148377522,714245.389062244,221559.795442901,770.565569236268,729.212932312641,1173.33387267698,1144.92812247498,611.434327363717,611.434327363717,599.966989704263,3.31376894755916e-05,1182.21464592625,415.387237897831
0.0218783395976633,671.827041584303,3.2565434618514e-05,2.48547860299054,773937.36682249,225570.627259358,789.361154687216,746.128959218495,1158.29286744169,1128.57920374096,601.198208803993,601.198208803993,589.828930056285,3.2565434618514e-05,1177.14914698669,434.267403483309
0.0213307399159263,665.821356764919,3.20367313232002e-05,2.49374216072824,833629.344582735,228845.967862867,807.14795261976,762.137077357784,1144.04343969331,1113.09069531881,591.906065835366,591.906065835366,580.637956164795,3.20367313232002e-05,1171.90003608499,452.134242006549
0.0208104747274983,659.717598251226,3.15445196287965e-05,2.50029088894385,893321.32234298,231475.9440943,824.046888259301,777.346119433371,1130.49113740639,1098.35993196346,583.413599265624,583.413599265624,572.248751548465,3.15445196287965e-05,1166.51797951659,469.109222856468
0.0203144818433016,653.550109753639,3.10832812054141e-05,2.50536991302769,953013.300103225,233536.822174208,840.157425758526,791.845603182673,1117.55823170699,1084.30242576847,575.606464254614,575.606464254614,564.546224102525,3.10832812054141e-05,1161.04035082473,485.292257774439
0.0198402091190453,647.344188768534,3.06486247397818e-05,2.50917683137393,1012705.27786347,235093.741352898,855.562462307316,805.710136076585,1105.17990899857,1070.84772717236,568.392617590643,568.392617590643,557.437774908848,3.06486247397818e-05,1155.49509857405,500.766616987699
0.0193855048844633,641.118640371003,3.02370008665561e-05,2.51187305086595,1072397.25562372,236202.789695705,870.331887143224,819.002618428902,1093.30150074354,1057.93641385168,561.696945102619,561.696945102619,550.847872538518,3.02370008665561e-05,1149.90335741641,515.602504235368
0.0189485366240219,634.887533139502,2.98455011871502e-05,2.51359195784589,1132089.23338396,236912.606883449,884.525222914993,831.776620623493,1081.87642671805,1045.51785512832,555.45740341616,555.45740341616,544.714158042652,2.98455011871502e-05,1144.28125212273,529.85971001811
0.0185277295351195,628.66143097067,2.94717134253205e-05,2.51444492425335,1191781.21114421,237265.640130671,898.193621397526,844.078179257774,1070.86464043943,1033.54852221677,549.622193518777,549.622193518777,538.984592561213,2.94717134253205e-05,1138.64116954112,543.589616293815
0.0181217193631855,622.448272598736,2.91136149957118e-05,2.51452579953531,1251473.18890445,237299.141208055,911.381395473363,855.947175926026,1060.23143539934,1021.99069065146,544.147653379024,544.147653379024,533.615331296977,2.91136149957118e-05,1132.99267156142,556.836735352993
0.0177293156805199,616.254009441267,2.87694934376075e-05,2.51391432230886,1311165.1666647,237045.967205105,924.127211886952,867.418410698257,1049.94651531744,1010.81142969287,538.996661791677,538.996661791677,528.569113760539,2.87694934376075e-05,1127.34316085938,569.639907940443
0.0173494729309494,610.083074627124,2.84378860068412e-05,2.5126787476775,1370857.14442494,236535.230427238,936.465031754418,878.522448578976,1039.98326077864,999.981805194178,534.137412249051,534.137412249051,523.814027585182,2.84378860068412e-05,1121.69837326081,582.033247997313
0.0169812673347021,603.938732171279,2.81175331703783e-05,2.51087789595374,1430549.12218519,235792.830857586,948.424860725295,889.286294652765,1030.31814410978,989.476243597584,529.542458981456,529.542458981456,519.322547040061,2.81175331703783e-05,1116.06274650779,594.046896198559
0.0166238782748065,597.823339808873,2.78073423498675e-05,2.50856276840826,1490241.09994543,234841.896161791,960.033353578144,899.73393822033,1020.93025765341,979.272019188491,525.18796612316,525.18796612316,515.070776500094,2.78073423498675e-05,1110.43969960833,605.707627269246
0.0162765731524279,591.73854880512,2.75063593292928e-05,2.50577783477155,1549933.07770568,233703.148145381,971.314306140225,909.886795526202,1011.80092984204,969.348836784824,521.05311049323,521.05311049323,511.037848873867,2.75063593292928e-05,1104.83184662958,617.039344117856
0.0159386949572033,585.685457207739,2.72137454687558e-05,2.50256206890915,1609625.05546592,232395.210151107,982.289059020304,919.764073118273,1002.91341000879,959.688489139986,517.119601959572,517.119601959572,507.205442611629,2.72137454687558e-05,1099.241161842,628.063483385895
0.0156096519841389,579.664728330047,2.6928759369418e-05,2.49894978918439,1669317.03322617,230934.866617611,992.97683161808,929.383068456272,994.252607557919,950.27457343252,513.371294807596,513.371294807596,503.557390465753,2.6928759369418e-05,1093.66910836001,638.799350960362
0.015288909263555,573.676683009186,2.66507419882537e-05,2.49497134581557,1729009.01098641,229337.283578804,1003.39500049149,938.759420442339,985.804874527827,941.092254921552,509.79387026354,509.79387026354,500.079359972432,2.66507419882537e-05,1088.11673911398,649.2644015937
0.0149759813699333,567.721371903776,2.63791044534987e-05,2.49065368725666,1788700.98874666,227616.197036558,1013.55933293531,947.90731964178,977.557823091271,932.128068577468,506.374575177557,506.374575177557,496.758590526257,2.63791044534987e-05,1082.58477665449,659.474473533519
0.0146704263495883,561.798632472037,2.6113318014028e-05,2.48602083010399,1848392.9665069,225784.074728151,1023.48418421884,956.83968579696,969.500171410115,923.369751532733,503.102005419147,503.102005419147,493.583675500964,2.6113318014028e-05,1077.07367662332,669.44398664783
0.0143718405628872,555.908134102219,2.585290568935e-05,2.48109425145448,1908084.94426715,223852.255720964,1033.18266511777,965.568318605991,961.621612673123,914.806100731656,499.965925159851,499.965925159851,490.544380516723,2.585290568935e-05,1071.58367852197,679.186110710797
0.0140798542792128,550.049414015865,2.55974352857082e-05,2.47589321846515,1967776.92202739,221831.071419124,1042.66678499585,974.104026496261,953.912703219599,906.426851325651,496.95711517762,496.95711517762,487.631490931866,2.55974352857082e-05,1066.11484652909,688.712909128327
0.0137941278954954,544.221905938298,2.53465135177034e-05,2.47043506670578,2027468.89978764,219729.950901214,1051.94757463228,982.456737169052,946.364766477209,898.222572257836,494.067244796232,494.067244796232,484.836683129273,2.53465135177034e-05,1060.66710246955,698.035462318125
